Round Number ,Date Out ,Date Checked ,Forest Name ,Camera Number in Forest ,Plot Type,Camera Model,Unit Number,SD Card Number ,Number of Pictures ,Tree Species ,Orientation (Degrees),Battery Level,Notes ,
1,11/15/18,3/4/19,Beaver Creek,4,Deciduous ,Bushnell HD,11,13,,Elm ,306,,Sounds of hunting. Porcupine in tree ,
1,11/15/18,3/4/19,Beaver Creek,2,Deciduous ,Bushnell HD,17,24,,Red Maple,178,,,
1,11/15/18,3/4/19,Beaver Creek,1,Deciduous ,Browning ,24,4,,Red Oak ,286,,,
1,11/15/18,3/4/19,Beaver Creek,3,Deciduous ,Browning ,30,20,,Red Maple,270,,,
2,,,Beaver Creek,8,Deciduous ,,,,,,,,,
2,,,Beaver Creek,7,Deciduous ,,,,,,,,,
2,,,Beaver Creek,6,Deciduous ,,,,,,,,,
2,,,Beaver Creek,5,Deciduous ,,,,,,,,,
1,11/26/18,2/7/19,Degrasse ,4,Pine ,Bushnell HD,8,23,294,White Pine ,0,,,
1,11/26/18,2/7/19,Degrasse ,2,Pine ,Bushnell HD,15,14,243,White Pine ,354,,,
2,2/7/08,,Degrasse ,6,Pine ,Bushnell HD,15,38,,Red Pine ,334,3 bars ,,
1,11/26/18,2/7/19,Degrasse ,1,Pine ,Browning ,28,15,18,Red Pine ,298,,,
2,2/7/08,,Degrasse ,5,Pine ,Browning ,28,38,,Red Pine ,12,80% battery,,
1,11/26/18,2/7/19,Degrasse ,3,Pine ,Browning ,29,19,540,Red Maple,18,,,
2,2/7/08,,Degrasse ,7,Pine ,Browning ,29,12,,American Beech,157,,,
2,2/7/08,,Degrasse ,8,Pine ,-,-,-,,-,-,-,-,
1,11/26/18,2/28/19,Donnverville ,2,Deciduous ,Bushnell HD,6,2,,Red Maple,200,,,
2,2/28/19,,Donnverville ,7,Deciduous ,Bushnell HD,6,9,,Red Maple,271,3 bars ,,
1,12/13/18,2/25/19,Donnverville ,4,Deciduous ,Bushnell HD,14,22,123,White Ash,172,3 bars ,7-batteries ,
2,2/28/19,,Donnverville ,5,Deciduous ,Bushnell HD,14,5,,American Beech,256,3 bars ,,
1,11/26/18,2/28/19,Donnverville ,1,Deciduous ,Browning ,21,21,,White Ash,226,,,
2,2/28/19,,Donnverville ,6,Deciduous ,Browning ,21,1,,American Beech,196,75% battery ,Key did not work -- Camera is at the same location as last time.  -- Need old key?,Battery was at 34% when it was picked up
1,12/12/18,2/25/19,Donnverville ,3,Deciduous ,Browning ,27,8,48,Yellow Birch,331,83% battery ,,
2,2/28/19,,Donnverville ,8,Deciduous ,Browning ,27,3,,Red Oak ,218,,Placed on significant incline ,
1,11/14/18,2/11/19,South Hammond ,4,Deciduous ,Bushnell HD,3,5,129,Red Pine ,142,2 bars ,Barbed wire at base of the tree ,
2,2/11/19,,South Hammond ,6,Deciduous ,Bushnell HD,3,7,,White Pine ,46,,,
1,11/13/18,2/11/19,South Hammond ,2,Deciduous ,Bushnell HD,10,10,NA,White Pine ,146,,placed on a game trail ,
2,2/11/19,,South Hammond ,7,Deciduous ,Bushnell HD,10,25,,Whtie Pine ,302,3 bars ,,
1,11/14/18,2/11/19,South Hammond ,3,Deciduous ,Browning ,23,3,120,White Pine ,304,,,
2,2/11/19,,South Hammond ,8,Deciduous ,Browning ,23,16,,White Pine ,288,,Key broke in lock. Need cable cutters. Camera has not MOVED ,
1,11/13/18,2/11/19,South Hammond ,1,Deciduous ,Browning ,25,9,86,Red Oak ,51,,placed on a game trail ,
2,2/11/19,,South Hammond ,5,Deciduous ,Browning ,25,6,,White Pine ,206,,,
1,12/6/18,1/24/19,Whippoorwill Corners ,4,Pine ,Bushnell HD,2,7,76,Red Maple,80,3 bars ,,
2,1/24/19,,Whippoorwill Corners ,8,Pine ,Bushnell HD,2,No Number,,Red Maple,81,3 bars ,7-batteries ,
1,12/6/18,1/24/19,Whippoorwill Corners ,2,Pine ,Bushnell HD,18,16,67,White Pine ,92,3 bars ,,
2,1/24/19,,Whippoorwill Corners ,6,Pine ,Bushnell HD,18,No Number,,Red Maple,7,3 bars ,,
1,12/6/18,1/24/19,Whippoorwill Corners ,1,Pine ,Bushnell HD,31,6,79,Red Pine ,58,82% battery ,,
2,1/24/19,,Whippoorwill Corners ,5,Pine ,Browning ,31,No Number,,Hemlock,334,81% battery,"Tree is dead, bring sharpie ",
1,12/6/18,1/24/19,Whippoorwill Corners ,3,Pine ,Browning ,32,17,367,Hemlock,138,77% battery,Hemlock is dead ,
2,1/24/19,,Whippoorwill Corners ,7,Pine ,Browning ,32,No Number,,White Pine ,16,70% battery,,
1,11/27/18,1/31/19,Whiskey Flats ,4,Pine ,Bushnell HD,4,26,51,Red Pine ,240,2 bars ,yellow batteries ,
2,1/31/19,,Whiskey Flats ,8,Pine ,Bushnell HD,4,36,,Red Pine ,232,2 bars ,No scale stick ,
1,11/27/18,1/31/19,Whiskey Flats ,2,Pine ,Bushnell HD,9,25,6,Red Pine ,328,2 bars ,yellow batteries ,
2,1/31/19,,Whiskey Flats ,6,Pine ,Bushnell HD,9,34,,Red Pine ,178,2 bars ,GPS Collection DID NOT STORE. Do again once collected.  Very Harvested area. NO understory.,
1,11/27/18,1/31/19,Whiskey Flats ,1,Pine ,Browning ,22,18,375,Hemlock,224,55% battery ,,
2,1/28/19,,Whiskey Flats ,5,Pine ,Browning ,22,31,,Red Maple,356,70% battery,,
1,11/27/18,1/31/19,Whiskey Flats ,3,Pine ,Browning ,33,1,207,Hemlock,70,50% battery ,,
2,1/31/19,,Whiskey Flats ,7,Pine ,Browning ,33,32,,NA ,64,70% battery,No key for lock. Not locked ,