,Per_Open_water_1km,Per_low_intensity_residential_1km,Per_Deciduous_forest_1km,Per_Evergreen_forest_1km,Per_Mixed_forest_1km,Per_Scrub_shrub_1km,Per_Grasslands_herbaceous_1km,Per_Pasture_hay_1km,Per_Row_crops_1km,Per_Woodywetlands_1km,Per_Emergent_wetlands_1km
1,0.018066847,0,0.689250226,0.206865402,0.029810298,0,0.010840108,0.009936766,0,0.028906956,0.006323397
2,0,0.016245487,0.194945848,0.666064982,0.023465704,0.050541516,0.003610108,0,0.003610108,0.041516245,0
3,0.066074951,0,0.256410256,0.539447732,0.006903353,0.007889546,0,0,0,0.123274162,0
4,0,0,0.098550725,0.355072464,0.034782609,0.007246377,0.015942029,0.176811594,0.3,0.011594203,0
5,0.012974052,0,0.815369261,0,0,0,0.01497006,0,0,0.134730539,0.021956088
6,0.026220615,0,0.810126582,0.056057866,0.033453888,0.00994575,0,0,0,0.064195298,0
7,0.005708849,0.014272122,0.287345385,0.560418649,0.007611798,0.020932445,0.044719315,0,0,0.058991437,0
8,0.026862027,0,0.774114774,0.024420024,0,0,0,0,0,0.168498168,0.006105006
9,0,0,0.502994012,0.341317365,0.118762475,0.001996008,0,0,0,0.03493014,0
10,0.045126354,0,0.85198556,0,0.019855596,0.007220217,0,0,0,0.075812274,0
11,0.010791367,0,0.317446043,0.428956835,0.100719424,0,0,0.01618705,0.007194245,0.118705036,0
12,0.03133393,0,0.803939123,0.015219338,0,0.00179051,0.002685765,0,0,0.144136079,0.000895255
13,0,0.02972973,0.508108108,0.216216216,0.01981982,0.007207207,0,0.017117117,0,0.201801802,0
14,0.008093525,0.007194245,0.15557554,0.603417266,0.037769784,0.010791367,0.008992806,0,0,0.168165468,0
15,0.006311993,0,0.224526601,0.599639315,0.009918846,0,0.016230839,0,0,0.121731289,0.021641118
16,0.047384008,0,0.852912142,0,0,0.045409674,0,0,0,0.048371175,0.005923001
17,0,0.033273381,0.565647482,0.200539568,0.010791367,0.104316547,0,0,0,0.085431655,0
18,0.007936508,0,0.674603175,0.126984127,0.023809524,0.088888889,0.050793651,0,0,0.026984127,0