Per_Deciduous_forest_033km,Per_Evergreen_forest_033km,Per_Mixed_forest_033km,Per_Total_forest_033km
0.40622757,-0.178545126,-0.708419886,0.601510086
-1.172088312,1.710746647,-0.755927258,1.083941385
-0.926237582,1.017212198,-0.755927258,-0.721016183
-1.210613822,0.455399365,1.485128692,-2.647366186
1.102911404,-1.347578297,-0.755927258,-1.11533979
1.321290183,-1.137603748,0.045060031,1.517487203
-0.475730963,0.695326547,-0.427906342,0.342821829
1.413246356,-1.347578297,-0.755927258,0.385748422
-0.386588164,0.259506846,2.196261053,1.08759274
1.412475608,-1.347578297,-0.427906342,0.656409595
-0.943018227,0.83117099,1.417404463,0.21262693
1.439583231,-1.347578297,-0.755927258,0.513139723
0.519533698,-0.551144735,-0.188971155,-0.024502278
-1.090605353,1.007788377,-0.426108962,-1.280853922
-0.848509941,1.167464555,-0.755927258,0.303623369
0.342037276,-0.363268481,-0.755927258,-0.546207937
-0.186593058,0.048483038,0.874432744,0.038224565
-0.717319905,0.427776714,1.452516513,-0.40783955