Per_low_intensity_residential_1km,Per_Pasture_hay_1km,Per_Row_crops_1km,Road_density_1km
-0.522858077,-0.055190894,-0.244625689,0.770723918
0.995223309,-0.294845296,-0.19348016,1.684058839
-0.522858077,-0.294845296,-0.244625689,-0.594301959
-0.522858077,3.969487468,4.005568061,0.720958874
-0.522858077,-0.294845296,-0.244625689,-1.050091213
-0.522858077,-0.294845296,-0.244625689,-1.050091213
0.810819562,-0.294845296,-0.244625689,1.479143953
-0.522858077,-0.294845296,-0.244625689,-1.050091213
-0.522858077,-0.294845296,-0.244625689,-1.050091213
-0.522858077,-0.294845296,-0.244625689,1.151280135
-0.522858077,0.095553129,-0.142702571,-1.050091213
-0.522858077,-0.294845296,-0.244625689,-0.892599486
2.255276535,0.117984436,-0.244625689,0.524826055
0.149417825,-0.294845296,-0.244625689,0.817561606
-0.522858077,-0.294845296,-0.244625689,-0.347525889
-0.522858077,-0.294845296,-0.244625689,0.161833971
2.586417769,-0.294845296,-0.244625689,-1.050091213
-0.522858077,-0.294845296,-0.244625689,0.82458726