 Camera,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,Forest Type ,Forest_Name,Camera Model ,Number Camera Days ,Per_Open_water_1km,Per_low_intensity_residential_1km,Per_Deciduous_forest_1km,Per_Evergreen_forest_1km,Per_Mixed_forest_1km,Per_Total_forest_1km,Per_Scrub_shrub_1km,Per_Grasslands_herbaceous_1km,Per_Pasture_hay_1km,Per_Row_crops_1km,Per_Woodywetlands_1km,Per_Emergent_wetlands_1km,Road_density_1km,Per_Open_water_033km,Per_low_intensity_residential_033km,Per_Deciduous_forest_033km,Per_Evergreen_forest_033km,Per_Mixed_forest_033km,Per_Total_forest_033km,Per_Scrub_shrub_033km,Per_Grasslands_herbaceous_033km,Per_Pasture_hay_033km,Per_Row_crops_033km,Per_Woodywetlands_033km,Per_Emergent_wetlands_033km,Road_density_033km
3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous,South Hammond,Bushnell HD,89,0.018066847,0,0.689250226,0.206865402,0.029810298,0.925925926,0,0.010840108,0.009936766,0,0.028906956,0.006323397,0.00311,0.005524862,0,0.566298343,0.350828729,0.002762431,0.919889503,0,0,0,0,0.069060773,0.005524862,0.00385
4,,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pine,Whiskey Flats ,Bushnell HD,75,0,0.016245487,0.194945848,0.666064982,0.023465704,0.884476534,0.050541516,0.003610108,0,0.003610108,0.041516245,0,0.00467,0,0,0.035616438,0.917808219,0,0.953424657,0.01369863,0,0,0,0.032876712,0,0.00827
8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pine,Degrasse,Bushnell HD,73,0.066074951,0,0.256410256,0.539447732,0.006903353,0.802761341,0.007889546,0,0,0,0.123274162,0,0.0007785,0.064516129,0,0.11827957,0.709677419,0,0.827956989,0.021505376,0,0,0,0.086021505,0,0.00173
9,,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pine,Whiskey Flats ,Bushnell HD,75,0,0,0.098550725,0.355072464,0.034782609,0.488405798,0.007246377,0.015942029,0.176811594,0.3,0.011594203,0,0.003025,0,0,0.02266289,0.541076487,0.130311615,0.694050992,0,0.025495751,0.169971671,0.110481586,0,0,0.00836
11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deciduous,Beaver Creek,Bushnell HD,109,0.012974052,0,0.815369261,0,0,0.815369261,0,0.01497006,0,0,0.134730539,0.021956088,0,0.008196721,0,0.800546448,0,0,0.800546448,0,0,0,0,0.191256831,0,0
14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deciduous,Donnerville,Bushnell HD,74,0.026220615,0,0.810126582,0.056057866,0.033453888,0.899638336,0.00994575,0,0,0,0.064195298,0,0,0,0,0.873972603,0.063013699,0.046575342,0.983561644,0,0,0,0,0.016438356,0,0
15,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pine,Degrasse,Bushnell HD,73,0.005708849,0.014272122,0.287345385,0.560418649,0.007611798,0.855375832,0.020932445,0.044719315,0,0,0.058991437,0,0.00432,0.016348774,0,0.269754768,0.613079019,0.019073569,0.901907356,0,0.032697548,0,0,0.049046322,0,0.000742
17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deciduous,Beaver Creek,Bushnell HD,109,0.026862027,0,0.774114774,0.024420024,0,0.798534798,0,0,0,0,0.168498168,0.006105006,0,0.016304348,0,0.904891304,0,0,0.904891304,0,0,0,0,0.078804348,0,0
18,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pine,Whippoorwill Corners,Bushnell HD,37,0,0,0.502994012,0.341317365,0.118762475,0.963073852,0.001996008,0,0,0,0.03493014,0,0,0,0,0.29972752,0.482288828,0.171662125,0.953678473,0,0,0,0,0.046321526,0,0
21,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,Deciduous,Donnerville,Browning,94,0.045126354,0,0.85198556,0,0.019855596,0.871841156,0.007220217,0,0,0,0.075812274,0,0.00376,0,0,0.904632153,0,0.019073569,0.923705722,0,0,0,0,0.076294278,0,0.00578
22,,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,1,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pine,Whiskey Flats ,Browning,75,0.010791367,0,0.317446043,0.428956835,0.100719424,0.847122302,0,0,0.01618705,0.007194245,0.118705036,0,0,0.016483516,0,0.112637363,0.653846154,0.126373626,0.892857143,0,0,0,0,0.090659341,0,0
24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deciduous,Beaver Creek,Browning,109,0.03133393,0,0.803939123,0.015219338,0,0.819158461,0.00179051,0.002685765,0,0,0.144136079,0.000895255,0.000269,0,0,0.913746631,0,0,0.913746631,0,0,0,0,0.086253369,0,0
25,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous,South Hammond,Browning,89,0,0.02972973,0.508108108,0.216216216,0.01981982,0.744144144,0.007207207,0,0.017117117,0,0.201801802,0,0.00269,0,0.041208791,0.604395604,0.239010989,0.032967033,0.876373626,0,0,0,0,0.082417582,0,0.00815
28,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pine,Degrasse,Browning,73,0.008093525,0.007194245,0.15557554,0.603417266,0.037769784,0.79676259,0.010791367,0.008992806,0,0,0.168165468,0,0.00319,0,0,0.063013699,0.706849315,0.019178082,0.789041096,0,0,0,0,0.210958904,0,0.003
29,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pine,Degrasse,Browning,73,0.006311993,0,0.224526601,0.599639315,0.009918846,0.834084762,0,0.016230839,0,0,0.121731289,0.021641118,0.0012,0,0,0.144414169,0.754768392,0,0.899182561,0,0,0,0,0.081743869,0.019073569,0
31,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pine,Whippoorwill Corners,Bushnell HD,36,0.047384008,0,0.852912142,0,0,0.852912142,0.045409674,0,0,0,0.048371175,0.005923001,0.00207,0,0.048780488,0.544715447,0.295392954,0,0.840108401,0,0,0,0,0.111111111,0,0.00626
32,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pine,Whippoorwill Corners,Browning,38,0,0.033273381,0.565647482,0.200539568,0.010791367,0.776978417,0.104316547,0,0,0,0.085431655,0,0,0,0,0.366972477,0.418960245,0.094801223,0.880733945,0.067278287,0.039755352,0,0,0.012232416,0,0
33,,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pine,Whiskey Flats ,Browning,75,0.007936508,0,0.674603175,0.126984127,0.023809524,0.825396826,0.088888889,0.050793651,0,0,0.026984127,0,0.003202,0,0,0.18852459,0.532786885,0.128415301,0.849726776,0.057377049,0,0,0,0.092896175,0,0