"","X","Image1","DateTimeOriginal","ForestName","Camera","Camera_Trap_Days","Date_Out","Date_Checked","choice","ID"
"1",47,"25_09_SH_0042.JPG","2018-11-18 00:15:50","SH",25,90,"18/11/13","19/02/11","COYOTE",1
"2",67,"25_09_SH_0051.JPG","2018-11-21 03:48:02","SH",25,90,"18/11/13","19/02/11","FOXRED",1
"3",114,"28_15_DEG_0008.JPG","2018-11-27 20:02:07","DEG",28,73,"18/11/26","19/02/07","FISHER",1
"4",115,"22_18_WF_0001.JPG","2018-11-27 23:02:56","WF",22,65,"18/11/27","19/01/31","COYOTE",1
"5",116,"22_18_WF_0004.JPG","2018-11-28 03:53:12","WF",22,65,"18/11/27","19/01/31","FISHER",1
"6",130,"29_19_DEG_0007.JPG","2018-11-29 00:16:13","DEG",29,73,"18/11/26","19/02/07","FISHER",1
"7",131,"22_18_WF_0010.JPG","2018-11-29 01:23:51","WF",22,65,"18/11/27","19/01/31","FISHER",1
"8",132,"22_18_WF_0013.JPG","2018-11-29 01:29:39","WF",22,65,"18/11/27","19/01/31","FISHER",1
"9",138,"21_21_DON_0003.JPG","2018-11-29 19:02:54","DON",21,94,"18/11/26","19/02/28","FOXRED",1
"10",143,"22_18_WF_0016.JPG","2018-11-30 10:12:41","WF",22,65,"18/11/27","19/01/31","FISHER",1
"11",144,"22_18_WF_0019.JPG","2018-11-30 11:43:36","WF",22,65,"18/11/27","19/01/31","FISHER",1
"12",163,"22_18_WF_0037.JPG","2018-12-02 00:00:04","WF",22,65,"18/11/27","19/01/31","FISHER",1
"13",199,"22_18_WF_0052.JPG","2018-12-05 06:58:31","WF",22,65,"18/11/27","19/01/31","FISHER",1
"14",218,"23_03_SH_0031.JPG","2018-12-07 18:56:37","SH",23,89,"18/11/14","19/02/11","FOXRED",1
"15",237,"33_01_WF_0061.JPG","2018-12-10 04:47:39","WF",33,65,"18/11/27","19/01/31","COYOTE",1
"16",238,"25_09_SH_0069.JPG","2018-12-10 04:56:18","SH",25,90,"18/11/13","19/02/11","FOXRED",1
"17",244,"33_01_WF_0067.JPG","2018-12-11 08:53:25","WF",33,65,"18/11/27","19/01/31","COYOTE",1
"18",245,"22_18_WF_0064.JPG","2018-12-11 18:53:31","WF",22,65,"18/11/27","19/01/31","COYOTE",1
"19",258,"33_01_WF_0070.JPG","2018-12-13 18:18:39","WF",33,65,"18/11/27","19/01/31","FISHER",1
"20",264,"18_16_WHIP_000004.JPG","2018-12-15 01:30:22","WHIP",18,49,"18/12/06","19/01/24","FISHER",1
"21",269,"15_14_DEG_000031.JPG","2018-12-15 06:52:17","DEG",15,73,"18/11/26","19/02/07","COYOTE",1
"22",274,"23_03_SH_0037.JPG","2018-12-15 17:15:37","SH",23,89,"18/11/14","19/02/11","RACCOON",1
"23",275,"22_18_WF_0073.JPG","2018-12-15 17:39:44","WF",22,65,"18/11/27","19/01/31","FISHER",1
"24",276,"18_16_WHIP_000007.JPG","2018-12-15 18:39:26","WHIP",18,49,"18/12/06","19/01/24","RACCOON",1
"25",278,"18_16_WHIP_000010.JPG","2018-12-15 20:15:36","WHIP",18,49,"18/12/06","19/01/24","RACCOON",1
"26",279,"18_16_WHIP_000013.JPG","2018-12-15 20:17:40","WHIP",18,49,"18/12/06","19/01/24","RACCOON",1
"27",280,"14_22_DON_000013.JPG","2018-12-16 00:48:19","DON",14,74,"18/12/13","19/02/25","RACCOON",1
"28",295,"23_03_SH_0040.JPG","2018-12-16 08:45:40","SH",23,89,"18/11/14","19/02/11","COYOTE",1
"29",321,"22_18_WF_0082.JPG","2018-12-17 13:35:48","WF",22,65,"18/11/27","19/01/31","FOXRED",1
"30",340,"22_18_WF_0085.JPG","2018-12-18 18:55:15","WF",22,65,"18/11/27","19/01/31","COYOTE",1
"31",408,"32_17_WHIP_0028.JPG","2018-12-23 18:11:29","WHIP",32,49,"18/12/06","19/01/24","FISHER",1
"32",410,"15_14_DEG_000106.JPG","2018-12-23 21:18:14","DEG",15,73,"18/11/26","19/02/07","COYOTE",1
"33",414,"22_18_WF_0112.JPG","2018-12-24 02:32:01","WF",22,65,"18/11/27","19/01/31","FISHER",1
"34",416,"22_18_WF_0115.JPG","2018-12-24 04:57:50","WF",22,65,"18/11/27","19/01/31","FISHER",1
"35",419,"11_13_BC_000145.JPG","2018-12-24 14:41:24","BC",11,109,"18/11/15","19/03/04","BOBCAT",1
"36",447,"22_18_WF_0124.JPG","2018-12-26 08:29:30","WF",22,65,"18/11/27","19/01/31","COYOTE",1
"37",474,"04_26_WF_000040.JPG","2018-12-29 14:54:18","WF",4,65,"18/11/27","19/01/31","COYOTE",1
"38",486,"18_16_WHIP_000040.JPG","2018-12-31 01:16:34","WHIP",18,49,"18/12/06","19/01/24","FISHER",1
"39",495,"33_01_WF_0127.JPG","2018-12-31 09:08:46","WF",33,65,"18/11/27","19/01/31","FISHER",1
"40",503,"14_22_DON_000070.JPG","2018-12-31 16:53:41","DON",14,74,"18/12/13","19/02/25","RACCOON",1
"41",517,"17_24_BC_000205.JPG","2019-01-01 10:52:04","BC",17,109,"18/11/15","19/03/04","RACCOON",1
"42",521,"18_16_WHIP_000043.JPG","2019-01-01 17:22:15","WHIP",18,49,"18/12/06","19/01/24","RACCOON",1
"43",531,"17_24_BC_000211.JPG","2019-01-02 16:18:21","BC",17,109,"18/11/15","19/03/04","RACCOON",1
"44",549,"04_26_WF_000046.JPG","2019-01-05 07:26:42","WF",4,65,"18/11/27","19/01/31","COYOTE",1
"45",567,"11_13_BC_000169.JPG","2019-01-07 02:21:08","BC",11,109,"18/11/15","19/03/04","WEASEL",1
"46",576,"18_16_WHIP_000055.JPG","2019-01-07 12:21:03","WHIP",18,49,"18/12/06","19/01/24","COYOTE",1
"47",625,"14_22_DON_000085.JPG","2019-01-12 17:20:09","DON",14,74,"18/12/13","19/02/25","COYOTE",1
"48",672,"21_21_DON_0030.JPG","2019-01-16 23:59:44","DON",21,94,"18/11/26","19/02/28","FOXRED",1
"49",705,"32_17_WHIP_0067.JPG","2019-01-22 19:11:37","WHIP",32,49,"18/12/06","19/01/24","FOXRED",1
"50",724,"32_17_WHIP_0070.JPG","2019-01-23 22:34:19","WHIP",32,49,"18/12/06","19/01/24","COYOTE",1
"51",747,"21_21_DON_0036.JPG","2019-01-25 21:54:20","DON",21,94,"18/11/26","19/02/28","FOXRED",1
"52",748,"21_21_DON_0039.JPG","2019-01-25 21:57:19","DON",21,94,"18/11/26","19/02/28","FOXRED",1
"53",762,"14_22_DON_000100.JPG","2019-01-27 02:26:10","DON",14,74,"18/12/13","19/02/25","FOXRED",1
"54",800,"11_13_BC_000181.JPG","2019-01-31 09:08:14","BC",11,109,"18/11/15","19/03/04","FISHER",1
"55",831,"14_22_DON_000112.JPG","2019-02-07 11:13:12","DON",14,74,"18/12/13","19/02/25","FOXRED",1
