"","SourceFile","ExifToolVersion","FileName","Directory","FileSize","FileModifyDate","FileAccessDate","FileInodeChangeDate","FilePermissions","FileType","FileTypeExtension","MIMEType","ExifByteOrder","Make","Model","Orientation","XResolution","YResolution","ResolutionUnit","Software","ModifyDate","YCbCrPositioning","ExposureTime","FNumber","ExposureProgram","ISO","ExifVersion","DateTimeOriginal","CreateDate","ComponentsConfiguration","CompressedBitsPerPixel","ShutterSpeedValue","ApertureValue","ExposureCompensation","MaxApertureValue","MeteringMode","LightSource","Flash","FocalLength","Warning","UserComment","FlashpixVersion","ColorSpace","ExifImageWidth","ExifImageHeight","InteropIndex","InteropVersion","FileSource","SceneType","ExposureMode","WhiteBalance","DigitalZoomRatio","FocalLengthIn35mmFormat","SceneCaptureType","Sharpness","Compression","ThumbnailOffset","ThumbnailLength","MPFVersion","NumberOfImages","MPImageFlags","MPImageFormat","MPImageType","MPImageLength","MPImageStart","DependentImage1EntryNumber","DependentImage2EntryNumber","ImageWidth","ImageHeight","EncodingProcess","BitsPerSample","ColorComponents","YCbCrSubSampling","Aperture","ImageSize","PreviewImage","Megapixels","ScaleFactor35efl","ShutterSpeed","ThumbnailImage","CircleOfConfusion","FOV","FocalLength35efl","HyperfocalDistance","LightValue","Event"
"11","./Whippoorwill_Corners_cam3 (1).JPG",11.26,"Whippoorwill_Corners_cam3 (1).JPG",".","3.3 MB","2018:12:08 21:51:18-05:00","2019:02:04 14:04:14-05:00","2019:02:04 12:55:39-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:08 21:51:18","Co-sited","1/20",2.4,"Program AE",200,220,2018-12-08 21:51:18,"2018:12:08 21:51:18","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M1 ALS0 L44 T70 S26 IR61 C0 Y85 B0 ST4 SNAP1",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4842,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",21670,3484444,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 21670 bytes)",7.8,9.2,"1/20","(Binary data 4842 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",5.8,1
"22","./Whippoorwill_Corners_cam3 (2).JPG",11.26,"Whippoorwill_Corners_cam3 (2).JPG",".","3.3 MB","2018:12:08 21:51:20-05:00","2019:02:04 14:04:16-05:00","2019:02:04 12:55:40-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:08 21:51:20","Co-sited","1/20",2.4,"Program AE",100,220,2018-12-08 21:51:20,"2018:12:08 21:51:20","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M0 ALS0 L55 T70 S15 IR61 C0 Y139 B0 ST4 SNAP2",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4565,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",20336,3484684,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 20336 bytes)",7.8,9.2,"1/20","(Binary data 4565 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",6.8,1
"17","./Whippoorwill_Corners_cam3 (3).JPG",11.26,"Whippoorwill_Corners_cam3 (3).JPG",".","3.3 MB","2018:12:16 05:58:36-05:00","2019:02:05 14:31:24-05:00","2019:02:04 12:55:40-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:16 05:58:35","Co-sited","1/20",2.4,"Program AE",400,220,2018-12-16 05:58:35,"2018:12:16 05:58:35","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M2 ALS0 L23 T70 S47 IR61 C1 Y34 B0 ST4 SNAP0",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,5066,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",24491,3486825,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 24491 bytes)",7.8,9.2,"1/20","(Binary data 5066 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",4.8,2
"36","./Whippoorwill_Corners_cam3 (4).JPG",11.26,"Whippoorwill_Corners_cam3 (4).JPG",".","3.3 MB","2018:12:16 05:58:38-05:00","2019:02:05 14:31:24-05:00","2019:02:04 12:55:40-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:16 05:58:37","Co-sited","1/20",2.4,"Program AE",200,220,2018-12-16 05:58:37,"2018:12:16 05:58:37","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M1 ALS0 L45 T70 S25 IR61 C0 Y88 B0 ST4 SNAP1",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4627,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",22294,3485717,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 22294 bytes)",7.8,9.2,"1/20","(Binary data 4627 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",5.8,2
"25","./Whippoorwill_Corners_cam3 (5).JPG",11.26,"Whippoorwill_Corners_cam3 (5).JPG",".","3.3 MB","2018:12:16 05:58:40-05:00","2019:02:04 14:04:19-05:00","2019:02:04 12:55:40-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:16 05:58:39","Co-sited","1/20",2.4,"Program AE",200,220,2018-12-16 05:58:39,"2018:12:16 05:58:39","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M0 ALS0 L51 T70 S19 IR61 C0 Y118 B0 ST4 SNAP2",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4514,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",21702,3485739,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 21702 bytes)",7.8,9.2,"1/20","(Binary data 4514 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",5.8,2
"6","./Whippoorwill_Corners_cam3 (6).JPG",11.26,"Whippoorwill_Corners_cam3 (6).JPG",".","3.3 MB","2018:12:16 05:59:44-05:00","2019:02:04 14:04:19-05:00","2019:02:04 12:55:40-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:16 05:59:44","Co-sited","1/20",2.4,"Program AE",100,220,2018-12-16 05:59:44,"2018:12:16 05:59:44","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M2 ALS0 L55 T70 S15 IR61 C1 Y109 B0 ST4 SNAP0",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4380,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",21110,3484586,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 21110 bytes)",7.8,9.2,"1/20","(Binary data 4380 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",6.8,3
"3","./Whippoorwill_Corners_cam3 (7).JPG",11.26,"Whippoorwill_Corners_cam3 (7).JPG",".","3.3 MB","2018:12:16 05:59:46-05:00","2019:02:04 14:04:20-05:00","2019:02:04 12:55:40-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:16 05:59:46","Co-sited","1/20",2.4,"Program AE",200,220,2018-12-16 05:59:46,"2018:12:16 05:59:46","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M1 ALS0 L54 T70 S16 IR61 C0 Y48 B0 ST1 SNAP1",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4406,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",21069,3484527,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 21069 bytes)",7.8,9.2,"1/20","(Binary data 4406 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",5.8,3
"32","./Whippoorwill_Corners_cam3 (8).JPG",11.26,"Whippoorwill_Corners_cam3 (8).JPG",".","3.3 MB","2018:12:16 05:59:48-05:00","2019:02:04 14:04:38-05:00","2019:02:04 12:55:40-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:16 05:59:48","Co-sited","1/20",2.4,"Program AE",100,220,2018-12-16 05:59:48,"2018:12:16 05:59:48","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M0 ALS0 L62 T70 S8 IR61 C1 Y57 B0 ST4 SNAP2",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4293,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",20314,3483884,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 20314 bytes)",7.8,9.2,"1/20","(Binary data 4293 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",6.8,3
"29","./Whippoorwill_Corners_cam3 (9).JPG",11.26,"Whippoorwill_Corners_cam3 (9).JPG",".","3.3 MB","2018:12:16 06:00:50-05:00","2019:02:04 14:04:20-05:00","2019:02:04 12:55:41-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:16 06:00:49","Co-sited","1/20",2.4,"Program AE",100,220,2018-12-16 06:00:49,"2018:12:16 06:00:49","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M2 ALS0 L57 T70 S13 IR61 C1 Y96 B0 ST4 SNAP0",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4395,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",20937,3484562,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 20937 bytes)",7.8,9.2,"1/20","(Binary data 4395 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",6.8,4
"8","./Whippoorwill_Corners_cam3 (10).JPG",11.26,"Whippoorwill_Corners_cam3 (10).JPG",".","3.3 MB","2018:12:16 06:00:50-05:00","2019:02:04 14:04:14-05:00","2019:02:04 12:55:39-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:16 06:00:51","Co-sited","1/20",2.4,"Program AE",200,220,2018-12-16 06:00:51,"2018:12:16 06:00:51","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M1 ALS0 L54 T70 S16 IR61 C0 Y130 B0 ST4 SNAP1",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4480,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",21323,3484647,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 21323 bytes)",7.8,9.2,"1/20","(Binary data 4480 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",5.8,4
"14","./Whippoorwill_Corners_cam3 (11).JPG",11.26,"Whippoorwill_Corners_cam3 (11).JPG",".","3.3 MB","2018:12:16 06:00:52-05:00","2019:02:05 14:31:24-05:00","2019:02:04 12:55:39-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:16 06:00:53","Co-sited","1/20",2.4,"Program AE",200,220,2018-12-16 06:00:53,"2018:12:16 06:00:53","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M0 ALS0 L54 T70 S16 IR61 C0 Y129 B0 ST4 SNAP2",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4461,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",21365,3484168,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 21365 bytes)",7.8,9.2,"1/20","(Binary data 4461 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",5.8,4
"15","./Whippoorwill_Corners_cam3 (12).JPG",11.26,"Whippoorwill_Corners_cam3 (12).JPG",".","3.3 MB","2018:12:16 06:17:48-05:00","2019:02:04 14:04:14-05:00","2019:02:04 12:55:39-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:16 06:17:48","Co-sited","1/20",2.4,"Program AE",200,220,2018-12-16 06:17:48,"2018:12:16 06:17:48","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M2 ALS0 L54 T70 S16 IR61 C1 Y108 B0 ST4 SNAP0",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4389,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",21100,3484621,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 21100 bytes)",7.8,9.2,"1/20","(Binary data 4389 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",5.8,5
"24","./Whippoorwill_Corners_cam3 (13).JPG",11.26,"Whippoorwill_Corners_cam3 (13).JPG",".","3.3 MB","2018:12:16 06:17:50-05:00","2019:02:04 14:04:14-05:00","2019:02:04 12:55:39-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:16 06:17:50","Co-sited","1/20",2.4,"Program AE",200,220,2018-12-16 06:17:50,"2018:12:16 06:17:50","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M1 ALS0 L54 T70 S16 IR61 C0 Y50 B0 ST1 SNAP1",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4330,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",20793,3483803,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 20793 bytes)",7.8,9.2,"1/20","(Binary data 4330 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",5.8,5
"30","./Whippoorwill_Corners_cam3 (14).JPG",11.26,"Whippoorwill_Corners_cam3 (14).JPG",".","3.3 MB","2018:12:16 06:17:52-05:00","2019:02:05 14:31:24-05:00","2019:02:04 12:55:39-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:16 06:17:52","Co-sited","1/20",2.4,"Program AE",100,220,2018-12-16 06:17:52,"2018:12:16 06:17:52","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M0 ALS0 L62 T70 S8 IR61 C1 Y57 B0 ST4 SNAP2",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4196,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",20067,3483124,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 20067 bytes)",7.8,9.2,"1/20","(Binary data 4196 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",6.8,5
"31","./Whippoorwill_Corners_cam3 (15).JPG",11.26,"Whippoorwill_Corners_cam3 (15).JPG",".","3.3 MB","2018:12:16 06:21:22-05:00","2019:02:04 14:04:15-05:00","2019:02:04 12:55:39-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:16 06:21:22","Co-sited","1/20",2.4,"Program AE",100,220,2018-12-16 06:21:22,"2018:12:16 06:21:22","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M2 ALS0 L57 T70 S13 IR61 C1 Y97 B0 ST4 SNAP0",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4366,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",20831,3484335,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 20831 bytes)",7.8,9.2,"1/20","(Binary data 4366 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",6.8,6
"4","./Whippoorwill_Corners_cam3 (16).JPG",11.26,"Whippoorwill_Corners_cam3 (16).JPG",".","3.3 MB","2018:12:16 06:21:24-05:00","2019:02:04 14:04:15-05:00","2019:02:04 12:55:39-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:16 06:21:24","Co-sited","1/20",2.4,"Program AE",200,220,2018-12-16 06:21:24,"2018:12:16 06:21:24","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M1 ALS0 L54 T70 S16 IR61 C0 Y44 B0 ST4 SNAP1",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4409,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",21102,3484777,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 21102 bytes)",7.8,9.2,"1/20","(Binary data 4409 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",5.8,6
"5","./Whippoorwill_Corners_cam3 (17).JPG",11.26,"Whippoorwill_Corners_cam3 (17).JPG",".","3.3 MB","2018:12:16 06:21:26-05:00","2019:02:04 14:04:15-05:00","2019:02:04 12:55:39-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:16 06:21:26","Co-sited","1/20",2.4,"Program AE",200,220,2018-12-16 06:21:26,"2018:12:16 06:21:26","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M0 ALS0 L53 T70 S17 IR61 C0 Y125 B0 ST4 SNAP2",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4498,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",21527,3484853,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 21527 bytes)",7.8,9.2,"1/20","(Binary data 4498 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",5.8,6
