"","classification_id","subject_ids","total_submissions","submission_index","choice","choice.1","Number","SnowDepth","Young","Antlers","Precipitation","behavior_CLIMBING","behavior_DIGGING","behavior_FLYING","behavior_FORAGINGEATING","behavior_INTERACTING","behavior_OTHER","behavior_SITTINGSTANDINGLYING","behavior_WALKINGRUNNING","user_name_1","workflow_id","workflow_version_1","ForestType","ForestName","Image1","Image2","Image3","Camera","SDCard","PhotoBatch","Class_Round"
"1",1,1,1,1,"NOTHINGHERE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"anvon15",9599,123.17,"Deciduous","SH","25_09_SH_0018.JPG","25_09_SH_0019.JPG","25_09_SH_0020.JPG",25,9,1,1
"2",2,2,1,1,"WHITETAILEDDEER",NA,1,"010CM","NO","NO","NO",0,0,0,0,0,0,0,1,"not-logged-in-d68592ec76ea7590add7",9599,123.17,"Pine","WHIP","32_17_WHIP_0037.JPG","32_17_WHIP_0038.JPG","32_17_WHIP_0039.JPG",32,17,1,1
"3",3,3,1,1,"COYOTE",NA,1,"1020CM","NO",NA,"NO",0,0,0,0,0,0,0,1,"seauch15",9599,123.17,"Pine","WF","04_26_WF_000046.JPG","04_26_WF_000047.JPG","04_26_WF_000048.JPG",4,26,1,1
"4",4,4,1,1,"REDSQUIRREL",NA,1,"010CM","NO",NA,"NO",0,0,0,0,0,0,0,1,"LJKinsey",9599,123.17,"Deciduous","BC","11_13_BC_000199.JPG","11_13_BC_000200.JPG","11_13_BC_000201.JPG",11,13,1,1
"5",5,4,1,1,"GRAYSQUIRREL",NA,1,NA,"NO",NA,"NO",0,0,0,0,0,0,0,1,"kdmccr18",9599,123.17,"Deciduous","SH","25_09_SH_0007.JPG","25_09_SH_0008.JPG",NA,25,9,1,1
"6",6,5,1,1,"PORCUPINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LarissaV",9599,123.17,"Pine","WHIP","31_06_WHIP_0058.JPG","31_06_WHIP_0059.JPG","31_06_WHIP_0060.JPG",31,6,1,1
"7",7,6,1,1,"SOMETHINGHERE",NA,1,"1020CM","NO",NA,"YES",0,0,0,1,0,0,0,1,"emmaoldow",9599,123.17,"Pine","DEG","29_19_DEG_0007.JPG","29_19_DEG_0008.JPG","29_19_DEG_0009.JPG",29,19,1,1
"8",8,7,1,1,"BOBCAT",NA,1,NA,"NO",NA,"YES",0,0,0,0,0,0,0,1,"not-logged-in-fd67d472080af3fee5c1",9599,123.17,"Deciduous","BC","17_24_BC_000250.JPG","17_24_BC_000251.JPG","17_24_BC_000252.JPG",17,24,1,1
"9",9,7,1,1,"DOMESTICCAT",NA,1,"1020CM","NO","NO","NO",0,0,0,0,0,0,0,1,"emmaoldow",9599,123.17,"Pine","WF","22_18_WF_0256.JPG","22_18_WF_0257.JPG","22_18_WF_0258.JPG",22,18,1,1
"10",10,7,1,1,"DOMESTICCAT",NA,1,"3040CM","NO","NO","NO",0,0,0,1,0,0,0,1,"emmaoldow",9599,123.17,"Pine","DEG","29_19_DEG_0523.JPG","29_19_DEG_0524.JPG","29_19_DEG_0525.JPG",29,19,1,1
"11",11,8,1,1,"PORCUPINE",NA,1,"3040CM","NO","NO","NO",0,0,0,0,0,0,0,1,"LJKinsey",9599,123.17,"Deciduous","DON","14_22_DON_000106.JPG","14_22_DON_000107.JPG","14_22_DON_000108.JPG",14,22,1,1
"12",12,9,1,1,"PORCUPINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"meghankelly898",9599,123.17,"Deciduous","BC","11_13_BC_000196.JPG","11_13_BC_000197.JPG","11_13_BC_000198.JPG",11,13,1,1
"13",13,9,1,1,"COTTONTAIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LJKinsey",9599,123.17,"Pine","WHIP","31_06_WHIP_0058.JPG","31_06_WHIP_0059.JPG","31_06_WHIP_0060.JPG",31,6,1,1
"14",14,9,1,1,"RACCOON",NA,2,"010CM","NO","NO","NO",0,0,0,1,0,0,0,1,"anvon15",9599,123.17,"Pine","WHIP","18_16_WHIP_000016.JPG","18_16_WHIP_000017.JPG","18_16_WHIP_000018.JPG",18,16,1,1
"15",15,9,1,1,"DOMESTICCAT",NA,1,"2030CM","NO","NO","NO",0,0,0,0,0,0,0,1,"barthelmess",9599,123.17,"Pine","DEG","29_19_DEG_0496.JPG","29_19_DEG_0497.JPG","29_19_DEG_0498.JPG",29,19,1,1
"16",16,9,1,1,"BOBCAT",NA,2,"1020CM","NO","NO","NO",0,0,0,1,0,0,0,0,"anvon15",9599,123.17,"Pine","WHIP","32_17_WHIP_0001.JPG","32_17_WHIP_0002.JPG","32_17_WHIP_0003.JPG",32,17,1,1
"17",17,10,1,1,"GRAYSQUIRREL",NA,1,"010CM","YES","NO","NO",0,0,0,0,0,0,1,0,"meghankelly898",9599,123.17,"Pine","DEG","29_19_DEG_0121.JPG","29_19_DEG_0122.JPG",NA,29,19,1,1
"18",18,10,1,1,"GRAYSQUIRREL",NA,1,"3040CM",NA,NA,"NO",0,0,0,0,0,0,0,1,"barthelmess",9599,123.17,"Pine","WHIP","32_17_WHIP_0070.JPG","32_17_WHIP_0071.JPG","32_17_WHIP_0072.JPG",32,17,1,1
"19",19,11,1,1,"PORCUPINE",NA,1,"010CM","NO","NO","NO",0,0,0,0,0,0,1,0,"keandy16",9599,123.17,"Deciduous","SH","23_03_SH_0022.JPG","23_03_SH_0023.JPG","23_03_SH_0024.JPG",23,3,1,1
"20",20,12,1,1,"PORCUPINE",NA,1,"1020CM","NO","NO","NO",0,0,0,0,0,0,0,1,"seauch15",9599,123.17,"Pine","WF","22_18_WF_0091.JPG","22_18_WF_0092.JPG","22_18_WF_0093.JPG",22,18,1,1
